Id,Year,Country,Lane,Integron,Plasmid,Sindh,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,strA__color,strB__color,blaCTXM15__color,qnrS__color,catA1__color,blaTEM1__color,dfrA7__color,sul1__color,sul2__color,Longitude,Latitude,gyrA_S83F,gyrA_S83F__colour,parE_L416F,parE_L416F__colour
22420_1_10_PakBL60006_2016,2017,Pakistan,22420_1_10,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_100_PakBL8770_2017,2017,Pakistan,22420_1_100,yes,,control,strA,strB,,,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#FFFFFF,#FFFFFF,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,parE_L416F,#000000
22420_1_11_PakBL60086_2016,2017,Pakistan,22420_1_11,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_12_PakBL60092_2016,2017,Pakistan,22420_1_12,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_13_PakBL60306_2016,2017,Pakistan,22420_1_13,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_14_PakBL60352_2016,2017,Pakistan,22420_1_14,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_15_PakBL0083_2017,2017,Pakistan,22420_1_15,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_16_PakBL6802_2017,2017,Pakistan,22420_1_16,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_17_PakBL0416_2017,2017,Pakistan,22420_1_17,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_18_PakBL0417_2017,2017,Pakistan,22420_1_18,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_19_PakBL0364_2017,2017,Pakistan,22420_1_19,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_2_PakBL53977_2016,2017,Pakistan,22420_1_2,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_20_PakBL0706_2017,2017,Pakistan,22420_1_20,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_21_PakBL0696_2017,2017,Pakistan,22420_1_21,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_22_PakBL0582_2017,2017,Pakistan,22420_1_22,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_23_PakBL1020_2017,2017,Pakistan,22420_1_23,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_24_PakBL1172_2017,2017,Pakistan,22420_1_24,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_25_PakBL1502_2017,2017,Pakistan,22420_1_25,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_27_PakBL1672_2017,2017,Pakistan,22420_1_27,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_28_PakBL4421_2017,2017,Pakistan,22420_1_28,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
22420_1_29_PakBL2591_2017,2017,Pakistan,22420_1_29,yes,IncY,outbreak,strA,strB,blaCTXM15,qnrS,blaTEM1,catA1,dfrA7,sul1,sul2,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,#000000,69.345116,30.375321,gyrA_S83F,#000000,,#FFFFFF
